"id","name","officialname","image","addressline1","addressline2","addressline3","tel","website","foundedon","colors","stadiumname","stadiumseats","currenttransferrecord","currentmarketvalue","squad_size","squad_averageage","squad_foreigners","squad_nationalteamplayers","competition_id"
"333","CA Lanús","Club Atlético Lanús","https://tmssl.akamaized.net//images/wappen/big/333.png","Avenida 9. de Julio 1680","1824 Lanús, Buenos Aires","Argentina","+54 11 42414239","www.clublanus.com","1915-01-03","{}","Ciudad de Lanús - Néstor Díaz Pérez",46619,"12600000","32930000",31,"27.7",5,1,"ARG1"
"2417","Club Atlético Belgrano","Club Atlético Belgrano","https://tmssl.akamaized.net//images/wappen/big/2417.png","Calle Dr. Arturo Orgaz 510","5000 Córdoba","Argentina","+54 351 4111666","www.belgranocordoba.com","1905-03-19","{#0099D4}","Julio César Villagra",38550,"7150000","31450000",31,"28.4",5,2,"ARG1"
"12574","CD Godoy Cruz Antonio Tomba","Club Deportivo Godoy Cruz Antonio Tomba","https://tmssl.akamaized.net//images/wappen/big/12574.png","Calle Balcarce 477","5501 Mendoza","Argentina","+54 261 4249159","www.clubgodoycruz.com.ar","1921-06-01","{}","Feliciano Gambarte",23000,"5780000","30430000",32,"25.1",5,0,"ARG1"
"2063","CA Huracán","Club Atlético Huracán","https://tmssl.akamaized.net//images/wappen/big/2063.png","Amancio Alcorta 2570","Buenos Aires","Argentina","4942-1965","cahuracan.com","1908-11-01","{#FF0000,#FFFFFF,#0000FF}","Tomás Adolfo Ducó",43482,"10970000","29800000",30,"28",4,2,"ARG1"
"11831","Club Atlético Tigre","Club Atlético Tigre","https://tmssl.akamaized.net//images/wappen/big/11831.png","Guido Spano 1053","1644 Buenos Aires","Argentina","+54 (11) 47443949","www.catigre.com.ar","1902-08-03","{#14468B,#DD0036,#FFFFFF}","José Dellagiovanna",26282,"-417000","28150000",32,"26.2",5,1,"ARG1"
"2402","Defensa y Justicia","Club Social y Deportivo Defensa y Justicia","https://tmssl.akamaized.net//images/wappen/big/2402.png","Lavalle 126 - Florencio Varela","Florencio Varela, Buenos Aires","Argentina","+54 11 42372327","www.defensayjusticia.org.ar","1935-03-20","{#FFEE00,#63B015}","Norberto Tomaghello",18750,"4270000","28080000",32,"25.6",4,1,"ARG1"
"830","CA Banfield","Club Atlético Banfield","https://tmssl.akamaized.net//images/wappen/big/830.png","Vergara 1635","Banfield","Argentina","","clubabanfield.org","1896-01-21","{}","Florencio Sola",34901,"6480000","17300000",33,"25.7",7,3,"ARG1"
"928","Club Atlético Platense","Club Atlético Platense","https://tmssl.akamaized.net//images/wappen/big/928.png","Juan Zufriategui 2021","1602 Vicente López, Buenos Aires","Argentina","+54 11 47914748","www.cap.org.ar","1905-05-25","{#FFFFFF,#47220D}","Ciudad de Vicente López",28530,"-1320000","27430000",29,"26.3",3,1,"ARG1"
"1829","Instituto ACC","Instituto Atlético Central Córdoba","https://tmssl.akamaized.net//images/wappen/big/1829.png","Jujuy 2702","5000 Córdoba","Argentina","(351) 4740563","institutoacc.com.ar","1918-08-08","{#ff2424,#ffffff}","Juan Domingo Perón",25000,"4420000","26400000",29,"26.3",5,0,"ARG1"
"7097","CA Unión (Santa Fe)","Club Atlético Unión","https://tmssl.akamaized.net//images/wappen/big/7097.png","Av. López y Planes 3513","3000 Santa Fe","Argentina","+54 342 4539449","www.clubaunion.com.ar","1905-04-15","{#FF0000,#FFFFFF}","15 de Abril",27358,"3210000","25500000",31,"26.6",3,0,"ARG1"
"12179","CS Independiente Rivadavia","Club Sportivo Independiente Rivadavia","https://tmssl.akamaized.net//images/wappen/big/12179.png","Av. Boulogne Sur Mer 688","Mendoza","Argentina","","independienterivadavia.com.ar","1913-01-24","{#112063}","Bautista Gargantini",24000,"4130000","23950000",33,"26.8",5,1,"ARG1"
"25184","CA Barracas Central","Club Atlético Barracas Central","https://tmssl.akamaized.net//images/wappen/big/25184.png","Luna 1201","Buenos Aires","Argentina","4301-5855","www.barracascentral.com/","1904-04-05","{#fa0000,#ffffff}","Claudio Chiqui Tapia",18000,"0","21300000",30,"26.6",3,1,"ARG1"
"1286","CA Newell's Old Boys","Club Atlético Newell’s Old Boys","https://tmssl.akamaized.net//images/wappen/big/1286.png","Parque Independencia S/N","2000 Rosario, Santa Fe","Argentina","+54 341 4117725","www.newellsoldboys.com.ar","1903-11-03","{#FA0505,#080808}","Marcelo Bielsa",49000,"6720000","18700000",32,"27.4",6,2,"ARG1"
"31284","CA Central Córdoba (SdE)","Club Atlético Central Córdoba","https://tmssl.akamaized.net//images/wappen/big/31284.png","Granadero Saavedra 260","Santiago del Estero","Argentina","","","1919-06-03","{#FFFFFF,#000000}","Único Madre de Ciudades",30000,"-900000","17480000",33,"26.8",2,0,"ARG1"
"1106","Club de Gimnasia y Esgrima La Plata","Club de Gimnasia y Esgrima La Plata","https://tmssl.akamaized.net//images/wappen/big/1106.png","60 y 118","1900 La Plata, Buenos Aires","Argentina","","www.gimnasia.org.ar","1887-06-03","{}","Juan Carmelo Zerillo",30973,"4700000","16880000",33,"25.8",6,1,"ARG1"
"14554","Club Atlético Tucumán","Club Atlético Tucumán","https://tmssl.akamaized.net//images/wappen/big/14554.png","25 de Mayo 1351","4000 San Miguel de Tucumán","Argentina","+54 381 4313153","www.clubatleticotucuman.com.ar","1902-09-27","{#FFFFFF,#00CCFF}","Monumental José Fierro",35200,"6650000","15980000",29,"27.7",5,0,"ARG1"
"12454","CA Sarmiento (Junin)","Club Atlético Sarmiento","https://tmssl.akamaized.net//images/wappen/big/12454.png","Gandini 801","6000 Junín, Buenos Aires","Argentina","","clubatleticosarmiento.com","1911-04-01","{#1B6345}","Eva Perón",23156,"269000","12630000",32,"26.8",5,0,"ARG1"
"12301","CA Aldosivi","Club Atlético Aldosivi","https://tmssl.akamaized.net//images/wappen/big/12301.png","El Cano 3299","Mar del Plata","Argentina","","www.aldosivi.com","1913-03-29","{#2AA445,#E9E120}","José María Minella",35180,"0","10890000",32,"26.4",6,1,"ARG1"
"10511","CA San Martín (San Juan)","Club Atlético San Martín de San Juan","https://tmssl.akamaized.net//images/wappen/big/10511.png","Calle Mendoza 1164","5400 San Juan","Argentina","+54 (264) 4213017","www.soyverdinegro.com.ar","1907-09-27","{#33913c,#1a0202}","Ingeniero Hilario Sánchez",25500,"0","10130000",32,"28.7",1,0,"ARG1"
"19775","Club Deportivo Riestra","Asociación de Fomento Deportivo Riestra Barrio Colón","https://tmssl.akamaized.net//images/wappen/big/19775.png","Ana María Janer 2601","Buenos Aires","Argentina","+54 11 60128283","","1931-02-22","{#000000,#FFFFFF}","Guillermo Laza",10000,"-192000","7860000",32,"29.1",3,0,"ARG1"
"6878","Bolívar La Paz","Club Bolívar","https://tmssl.akamaized.net//images/wappen/big/6878.png","","La Paz","Bolivia","","www.clubbolivar.com","1925-04-12","{}","Estadio Hernando Siles",42000,"3130000","7450000",27,"28.4",9,9,"BO1A"
"42208","Club Always Ready","Club Always Ready","https://tmssl.akamaized.net//images/wappen/big/42208.png","","El Alto","Bolivia","","alwaysready.bo","1933-04-13","{#ffffff,#ff0000,#000000}","Estadio Municipal El Alto",25000,"724000","7380000",25,"25.2",6,6,"BO1A"
"8056","Blooming Santa Cruz","Club Blooming","https://tmssl.akamaized.net//images/wappen/big/8056.png","","Santa Cruz de la Sierra","Bolivia","","www.clubblooming.com.bo","1946-05-01","{#007FAD,#FF0000,#FFFFFF}","Estadio Ramón Tahuichi Aguilera",38000,"0","6900000",28,"26.8",7,3,"BO1A"
"92979","San Antonio Bulo Bulo","Club Deportivo San Antonio Bulo","https://tmssl.akamaized.net//images/wappen/big/92979.png","","Cochabamba","Bolivia","","","1962-09-09","{}","Estadio Carlos Villegas de Entre Ríos",0,"-393000","6780000",32,"26",8,3,"BO1A"
"6985","Club Deportivo Oriente Petrolero","Club Deportivo Oriente Petrolero","https://tmssl.akamaized.net//images/wappen/big/6985.png","Av. San Aurelio","Santa Cruz de la Sierra","Bolivia","+591 3-3531544","https://www.orientepetrolero.com.bo/","1955-11-05","{#0DAB25,#FFFFFF,#e1ffc4}","Estadio Ramón Tahuichi Aguilera",38000,"0","6480000",36,"26.7",6,3,"BO1A"
"132121","Gualberto Villarroel San José","","","","","","","",NULL,"{}","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"BO1A"
"5570","The Strongest La Paz","Club The Strongest","https://tmssl.akamaized.net//images/wappen/big/5570.png","","La Paz","Bolivia","(591) 720-99899","www.club-thestrongest.com/site","1908-04-08","{#E6E619,#030101}","Estadio Hernando Siles",42000,"0","5700000",27,"27.7",7,4,"BO1A"
"100047","Real Oruro","CDT Real Oruro","https://tmssl.akamaized.net//images/wappen/big/100047.png","","","","","",NULL,"{}","Estadio Jesús Bermúdez",40000,"0","5250000",38,"26.2",9,0,"BO1A"
"75558","CD Real Tomayapo","Club Deportivo Real Tomayapo","https://tmssl.akamaized.net//images/wappen/big/75558.png","","Tarija","Bolivia","+591 72941411","","1999-02-02","{#0B9914,#FFFFFF}","Estadio IV Centenario",15000,"44000","5230000",33,"27.1",8,0,"BO1A"
"23171","CA Nacional Potosí","Club Atlético Nacional Potosí","https://tmssl.akamaized.net//images/wappen/big/23171.png","","Potosí","Bolivia","","","1942-04-08","{#EB0000,#000000}","Estadio Víctor Augustín Ugarte",32105,"0","5050000",29,"28.7",7,0,"BO1A"
"17422","Club Deportivo Guabirá","Club Deportivo Guabirá","https://tmssl.akamaized.net//images/wappen/big/17422.png","","Montero","Bolivia","","","1962-04-14","{}","Estadio Gilberto Parada",13000,"0","5010000",29,"27.4",9,0,"BO1A"
"92977","Universitario de Vinto","Universitario de Vinto","https://tmssl.akamaized.net//images/wappen/big/92977.png","","Cochabamba","Bolivia","","","2005-03-23","{}","Estadio Félix Capriles",32303,"0","4630000",32,"25.8",6,1,"BO1A"
"93043","Club A.B.B.","Academia del Balompié Boliviano","https://tmssl.akamaized.net//images/wappen/big/93043.png","","La Paz","Bolivia","","","2021-09-10","{}","Estadio Municipal El Alto",22000,"0","4059999",38,"25.9",7,0,"BO1A"
"30854","Club Independiente Petrolero","Club Independiente Petrolero","https://tmssl.akamaized.net//images/wappen/big/30854.png","","Chuquisaca","Bolivia","","","1932-04-04","{}","Estadio Olímpico Patria",30700,"0","3450000",33,"27.8",8,0,"BO1A"
"12621","Club Aurora","Club Aurora","https://tmssl.akamaized.net//images/wappen/big/12621.png","Av, Circuito Bolivia - Lado Este","Cochabamba","Bolivia","4750707","www.clubaurora.com.bo","1935-05-27","{#25CFFA,#FCFFFF}","Estadio Félix Capriles",32303,"0","3230000",30,"29.4",8,1,"BO1A"
"4862","Club Jorge Wilstermann","Club Deportivo Jorge Wilstermann","https://tmssl.akamaized.net//images/wappen/big/4862.png","","Cochabamba","Bolivia","","","1949-11-24","{}","Estadio Felix Capriles",32303,"0","2800000",23,"26.2",5,0,"BO1A"
"1023","Sociedade Esportiva Palmeiras","Sociedade Esportiva Palmeiras","https://tmssl.akamaized.net//images/wappen/big/1023.png","Rua Palestra Itália 1840, Perdizes","05005-000 São Paulo","Brazil","+55 11 38746500","www.palmeiras.com.br","1914-08-26","{#006600,#FFFFFF,#FF0000}","Allianz Parque",43713,"47650000","212150000",29,"26.3",8,9,"BRA1"
"614","CR Flamengo","Clube de Regatas do Flamengo","https://tmssl.akamaized.net//images/wappen/big/614.png","Avenida Borges de Medeiros 997, Bairro L","22430-041 Rio de Janeiro","Brazil","+55 21 25290100","www.flamengo.com.br","1895-11-15","{#C22A1E,#000000}","Estádio Jornalista Mário Filho",82238,"-11850000","195900000",31,"28.5",10,11,"BRA1"
"537","Botafogo de Futebol e Regatas","S. A. F. Botafogo","https://tmssl.akamaized.net//images/wappen/big/537.png","Avenida Venceslau Brás 72, Bairro Botafa","22290-140 Rio de Janeiro","Brazil","+55 21 25461950","www.botafogo.com.br","1894-07-01","{#080808,#FFFFFF}","Estádio Olímpico Nilton Santos",46931,"-59350000","138350000",31,"27.4",11,5,"BRA1"
"609","Cruzeiro Esporte Clube","Cruzeiro Esporte Clube","https://tmssl.akamaized.net//images/wappen/big/609.png","Rua Adolfo Lippi Fonseca, 250, Trevo","31545-260 Belo Horizonte","Brazil","+55 31 34991020","www.cruzeiro.com.br","1921-01-02","{#0055FA,#FFFFFF}","Estádio Governador Magalhães Pinto",61927,"-39940000","125650000",31,"26.6",6,5,"BRA1"
"199","Sport Club Corinthians Paulista","Sport Club Corinthians Paulista","https://tmssl.akamaized.net//images/wappen/big/199.png","Rua São Jorge 777, Tatuapé","03087-000 São Paulo","Brazil","+55 11 61953000","www.corinthians.com.br","1910-09-01","{#050405,#FFFFFF}","Neo Química Arena",49205,"16180000","110450000",32,"26.3",8,6,"BRA1"
"978","Clube de Regatas Vasco da Gama","Club de Regatas Vasco da Gama","https://tmssl.akamaized.net//images/wappen/big/978.png","Av Roberto Dinamite 10, Bairro Vas","20921-060 Rio de Janeiro","Brazil","+55 21 21767373","www.crvascodagama.com","1898-08-21","{#000000,#ffffff,#ff0000}","Estádio São Januário",24584,"-9880000","108150000",36,"26.6",9,4,"BRA1"
"10010","Esporte Clube Bahia","Esporte Clube Bahia","https://tmssl.akamaized.net//images/wappen/big/10010.png","Avenida Octávio Mangabeira","41715-000 Salvador","Brazil","+55 71 22031931","www.esporteclubebahia.com.br","1931-01-01","{#FFFFFF,#FF0000,#0000FF}","Arena Fonte Nova",47364,"-16530000","101500000",29,"27.7",5,2,"BRA1"
"330","Clube Atlético Mineiro","Clube Atlético Mineiro","https://tmssl.akamaized.net//images/wappen/big/330.png","Avenida Olegário Maciel 1516","30180-111 Belo Horizonte","Brazil","+55 31 32901313","www.atletico.com.br","1908-03-25","{#050505,#FFFFFF}","Arena MRV",46000,"1340000","97400000",32,"26.9",6,4,"BRA1"
"2462","Fluminense Football Club","Fluminense Football Club","https://tmssl.akamaized.net//images/wappen/big/2462.png","Rua Álvaro Chaves 41, Bairro Laranjeiras","22231-220 Rio de Janeiro","Brazil","+55 21 25537240","www.fluminense.com.br","1902-07-21","{#910029,#FFFFFF,#006941}","Estádio Jornalista Mário Filho",82238,"21050000","94100000",34,"29",11,4,"BRA1"
"8793","Red Bull Bragantino","Red Bull Bragantino","https://tmssl.akamaized.net//images/wappen/big/8793.png","Rua Emílio Coleta","12900-000 Bragança Paulista","Brazil","+55 11 78440907","www.redbullbragantino.com.br","1928-01-08","{}","Estádio Municipal Cicero De Souza Marques",12000,"-332000","90700000",36,"25.1",8,2,"BRA1"
"585","São Paulo Futebol Clube","São Paulo Futebol Clube","https://tmssl.akamaized.net//images/wappen/big/585.png","Praça Roberto Gomez Pedrosa 1, Morumbi","05653-070 São Paulo","Brazil","+55 11 37498000","www.saopaulofc.net","1930-01-25","{#FF0000,#FFFFFF,#000000}","MorumBIS",72039,"20910000","89850000",34,"28",11,3,"BRA1"
"210","Grêmio Foot-Ball Porto Alegrense","Grêmio Foot-Ball Porto Alegrense","https://tmssl.akamaized.net//images/wappen/big/210.png","Av. Padre Leopoldo Brentano, 110","90251-903 Porto Alegre","Brazil","+55 51 3218-2000","www.gremio.net","1903-09-15","{}","Arena do Grêmio",60540,"-1830000","86450000",38,"27.8",12,5,"BRA1"
"6600","Sport Club Internacional","Sport Club Internacional","https://tmssl.akamaized.net//images/wappen/big/6600.png","Avenida Padre Cacique, 891","90810-240 Porto Alegre","Brazil","+55 51 32304600","www.internacional.com.br","1909-04-04","{#F00000,#FFFFFF}","Estádio Beira-Rio",50848,"11100000","86000000",29,"27.1",9,4,"BRA1"
"221","Santos FC","Santos Futebol Clube","https://tmssl.akamaized.net//images/wappen/big/221.png","Rua Princesa Isabel s/n°, Vila Belmiro","11075-500 Santos","Brazil","+55 13 32574000","www.santosfc.com.br","1912-04-14","{#FFFFFF,#000000}","Estádio Urbano Caldeira",16068,"11590000","82800000",33,"26.6",9,2,"BRA1"
"10870","Fortaleza Esporte Clube","Fortaleza Esporte Clube","https://tmssl.akamaized.net//images/wappen/big/10870.png","Avenida Senador Fernandes Távora 200","Fortaleza, Ceará","Brazil","+55 85 34962846","fortaleza1918.com.br","1918-10-18","{}","Estádio Governador Plácido Castelo",60326,"4150000","47180000",37,"29.3",10,1,"BRA1"
"8718","Sport Club do Recife","Sport Club do Recife","https://tmssl.akamaized.net//images/wappen/big/8718.png","Av, Sport Club do Recife, Ilha do Retiro","50750-500 Recife","Brazil","+55 (81) 32271213","www.sportrecife.com.br","1905-05-13","{}","Estádio Adelmar da Costa Carvalho",35000,"428000","39500000",32,"28.9",6,0,"BRA1"
"2125","Esporte Clube Vitória","Esporte Clube Vitória","https://tmssl.akamaized.net//images/wappen/big/2125.png","Rua Artêmio Castro Valente 1, Bairro Nos","41750-240 Salvador","Brazil","+55 (71) 33339120","www.ecvitoria.com.br","1899-05-13","{#CC1010,#080808}","Estádio Manoel Barradas",30618,"1010000","33500000",34,"28.2",6,0,"BRA1"
"2029","Ceará Sporting Club","Ceará Sporting Club","https://tmssl.akamaized.net//images/wappen/big/2029.png","Avenida Joáo Pessoa 3532, Porangabuçu","60425 Fortaleza","Brazil","+55 (85) 3494 9040","www.cearasc.com","1914-06-02","{#050505,#fafafa}","Estádio Plácido Aderaldo Castelo",63903,"7740000","32850000",32,"29.3",3,0,"BRA1"
"10492","Esporte Clube Juventude","Esporte Clube Juventude","https://tmssl.akamaized.net//images/wappen/big/10492.png","Rua Hércules Galló 1547","95020-330 Caxias do Sul","Brazil","","www.juventude.com.br","1913-06-29","{}","Estádio Alfredo Jaconi",23726,"1930000","23200000",36,"28.1",5,1,"BRA1"
"3876","Mirassol Futebol Clube (SP)","Mirasol Futebol Clube","https://tmssl.akamaized.net//images/wappen/big/3876.png","Avenida Lauro Luchesi","13309-050 MIrassol -  São Paulo","Brazil","","www.mirassolfc.com.br","1925-11-09","{#3AD10C,#EDD207}","Estádio Municipal José María de Campos Maia",14534,"-318000","22530000",33,"29.3",1,0,"BRA1"
"1037","Club Universidad de Chile","Club de Fútbol Profesional Universidad de Chile","https://tmssl.akamaized.net//images/wappen/big/1037.png","El Parrón 0939, La Cisterna","7970000 Santiago de Chile","Chile","+56 (2) 2393338","www.udechile.cl","1927-05-24","{#08007a,#ff0000,#ffffff}","Nacional Julio Martínez Prádanos",46190,"-943000","24650000",27,"27.9",6,12,"CLPD"
"2433","CSD Colo-Colo","Corporación Club Social y Deportivo Colo-Colo","https://tmssl.akamaized.net//images/wappen/big/2433.png","Avenida Maratón 5300","Macul (Santiago de Chile)","Chile","+56 2 2947300","www.colocolo.cl","1925-04-19","{#ffffff,#000000,#e00000}","Monumental David Arellano",43667,"4840000","22130000",25,"27.7",5,8,"CLPD"
"7020","CD Everton","Corporación Deportiva Everton de Viña del Mar","https://tmssl.akamaized.net//images/wappen/big/7020.png","","Viña del Mar","Chile","","www.everton.cl","1909-06-24","{#000fb3,#e3ff0d,#73002a}","Sausalito",19200,"500000","11480000",28,"28.1",8,2,"CLPD"
"3277","CD Universidad Católica","Club Deportivo Universidad Católica","https://tmssl.akamaized.net//images/wappen/big/3277.png","Circunvalación Las Flores 13000","Las Condes (Santiago de Chile)","Chile","+56 2 24124710","www.cruzados.cl","1937-04-21","{#FFFFFF,#0379E5,#E30000}","Claro Arena - San Carlos de Apoquindo",20249,"2760000","11350000",23,"28.4",4,8,"CLPD"
"6368","Huachipato FC","Club Deportivo Huachipato","https://tmssl.akamaized.net//images/wappen/big/6368.png","Desiderio García s/n","Talcahuano","Chile","","www.huachipatofc.cl","1947-06-07","{#002db5,#000000,#f7ff00}","Huachipato-CAP Acero",10032,"2290000","11300000",35,"25.8",8,1,"CLPD"
"11470","CD O'Higgins","Club Deportivo O'Higgins S.A.D.P.","https://tmssl.akamaized.net//images/wappen/big/11470.png","Monasterio Parcela San José, Santa Lucil","Rancagua","Chile","(72) 2 95 52 63","www.ohigginsfc.cl","1955-04-07","{#12b2c7,#ffffff,#000000}","El Teniente",14450,"0","11260000",22,"26",7,0,"CLPD"
"4321","Unión Española","Unión Española S.A.D.P.","https://tmssl.akamaized.net//images/wappen/big/4321.png","Julio Martínez Prádanos 1241","Santiago","Chile","+56 2 7354110","www.unionespanola.cl","1897-05-18","{#FF0000,#EEFF00,#02002E}","Santa Laura - Universidad SEK",19887,"0","11080000",30,"25.3",8,3,"CLPD"
"6363","Audax Italiano","Audax Club Sportivo Italiano","https://tmssl.akamaized.net//images/wappen/big/6363.png","Enrique Olivares 1003","757-0003 La Florida (Santiago de Chile)","Chile","+56 (2) 29632200","www.audaxitaliano.cl","1910-11-30","{#139100,#FFFFFF,#FF0000}","Bicentenario de La Florida",11367,"275000","10550000",28,"25.6",8,2,"CLPD"
"11004","Coquimbo Unido","Club de Deportes Coquimbo Unido S.A.D.P.","https://tmssl.akamaized.net//images/wappen/big/11004.png","Calle Edwards 50","1780000 Coquimbo","Chile","+56 (51) 321 311","www.coquimbounido.cl","1957-08-15","{#FFCC00,#000000,#FFFFFF}","Francisco Sánchez Rumoroso",17750,"1340000","10380000",25,"27.6",8,2,"CLPD"
"6536","CD Palestino","Club Deportivo Palestino S.A.","https://tmssl.akamaized.net//images/wappen/big/6536.png","Avenida El Parrón 999, La Cisterna","797-0227 Santiago","Chile","+56 2 4811170","palestino.cl","1920-08-20","{#FFFFFF,#05853f,#e2010a}","Municipal de La Cisterna",8000,"3360000","9230000",27,"28.4",6,1,"CLPD"
"5747","Deportes La Serena","Club de Deportes La Serena","https://tmssl.akamaized.net//images/wappen/big/5747.png","","La Serena","Chile","","www.cdlaserena.cl","1955-12-09","{#AD000E,#FFFFFF}","La Portada",17134,"0","8750000",30,"26.6",9,0,"CLPD"
"20514","Unión La Calera","Unión La Calera","https://tmssl.akamaized.net//images/wappen/big/20514.png","","","","","ulc.cl","1954-01-26","{#ff000d,#ffffff,#2003ff}","Nicolás Chahuán Nazar",9200,"0","7710000",26,"25.7",7,0,"CLPD"
"18076","Club Deportes Iquique","Club Deportes Iquique S.A.D.P.","https://tmssl.akamaized.net//images/wappen/big/18076.png","Alto Los Verdes S/N - Complejo Cesare Ro","1100000 Iquique","Chile","+(56 57) 2430028","www.clubdeportesiquique.com","1978-05-21","{#00D1C7,#000000,#6E2700}","Tierra de Campeones",13171,"-261000","7010000",28,"30.2",9,1,"CLPD"
"26697","Deportes Limache","Club de Deportes Limache S.A.D.P.","https://tmssl.akamaized.net//images/wappen/big/26697.png","","2240000 Limache","Chile","","www.deporteslimache.cl/","2012-11-01","{#000000,#FF0000,#FFFFFF}","Lucio Fariña Fernández",7265,"0","6910000",25,"28.5",9,1,"CLPD"
"14723","CD Ñublense","Club Deportivo Ñublense","https://tmssl.akamaized.net//images/wappen/big/14723.png","Pedro Aguirre Cerda 297","3780000 Chillán","Chile","","www.cdnublense.cl/","1916-08-20","{#ff0000,#000000,#ffffff}","Nelson Oyarzún",11319,"0","6630000",22,"29.4",5,0,"CLPD"
"17482","CD Cobresal","Club Deportes Cobresal","https://tmssl.akamaized.net//images/wappen/big/17482.png","Avenida Arqueros 2500","El Salvador","Chile","+56 (52) 472 392","www.cdcobresal.cl","1979-05-05","{#FFFFFF,#ED6700,#126E00}","El Cobre",11240,"0","6580000",24,"26.8",7,1,"CLPD"
"8172","Atlético Nacional","Corporación Deportiva Club Atlético Nacional","https://tmssl.akamaized.net//images/wappen/big/8172.png","Calle 62 No 44-103. Itagüí","Medellín","Colombia","(574) 5406920","www.atlnacional.com.co","1947-03-07","{#3BBD68,#3BBD68}","Estadio Atanasio Girardot",45943,"5260000","23500000",27,"27.5",4,4,"COL1"
"2352","CD América de Cali","América de Cali S. A.","https://tmssl.akamaized.net//images/wappen/big/2352.png","Carrera 56 No. 2-70","Cali - Valle del Cauca","Colombia","5130417, 5130418, 51","www.americadecali.co","1927-02-13","{#e31919,#ffffff,#000000}","Estadio Olímpico Pascual Guerrero",42300,"-1010000","17750000",34,"27.8",6,5,"COL1"
